street_address,suburb,city,postcode,property_type2,bedrooms,bathrooms,garage_parks,offstreet_parks,Carparks,land_size,floor_size,year_built,last_rent_price,last_rent_date,days_on_market,agency,capital_value,land_value,improvement_value,valuation,land_use,development_zone,position,view,roof_construction,wall_construction,category,furnishings,furnishings_evidence,pets,garage,Latitude,Longitude
48 SUFFOLK STREET,PHILLIPSTOWN,CHRISTCHURCH,8011,Townhouse,2,1,1,,1,,85,2000,485,7/07/2025,130,"Braziers Limited, (Licensed: Reaa 2008)",440000,150000,290000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Corner,No appreciable view,Steel/G-Iron,Plastic,Residential-OYO-2000/2009-average,partial,dryer;washing machine,Pets OK,YES,-43.5333056,172.6612035
2/11 SYLVAN STREET,HILLMORTON,CHRISTCHURCH,8024,Unit,2,1,1,,1,,94,1970,485,7/04/2025,183,Vision Property Management,385000,130000,255000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Rear,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.5510343,172.5975968
35 ALLARD STREET,EDGEWARE,CHRISTCHURCH,8013,Townhouse,2,1,1,,1,102,100,2025,485,22/04/2025,57,Rentworks Property Management Ltd,490000,180000,310000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-1970's-average,nill,,,YES,-43.5115205,172.6440947
132 St James Avenue,Papanui,Christchurch City,8053,unit,2,1,1,,1,140,100,1970,485,1/08/2025,54,Harcourts Gold Property Management,520000,350000,170000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,unfurnished,,Yes,-43.496239,172.6054571
132 SAINT JAMES AVENUE,PAPANUI,CHRISTCHURCH,8053,Unit,2,1,1,,1,,100,1970,485,29/08/2025,41,Harcourts Gold Property Management,520000,350000,170000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,partial,microwave;washing machine,,YES,-43.4970258,172.6064959
2/7 PEVEREL STREET,RICCARTON,CHRISTCHURCH,8011,Townhouse,2,1,1,,1,99,106,2025,485,13/03/2025,15,Irelands,590000,325000,265000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Tile Profile,Brick,Residential-OYO-1980's-average,nill,,,YES,-43.5331881,172.6040669
6 ROSEDALE PLACE,AVONHEAD,CHRISTCHURCH,8042,House,2,1,,2,2,645,130,1960,485,23/06/2025,47,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",710000,570000,140000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1960's-average,partial,fridge;washing machine,No,NO,-43.5163662,172.5628071
1/23 LANDSDOWNE TERRACE,CASHMERE,CHRISTCHURCH,8022,Unit,2,2,1,,1,615,150,1960,485,3/09/2025,49,Utiger Properties,,,198000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,nill,,,YES,-43.5719057,172.6405995
320 HOON HAY ROAD,HOON HAY,CHRISTCHURCH,8025,Unit,2,2,1,,1,642,,1960,485,24/01/2025,51,Ruby Property Enterprises Ltd,,,130000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,,,,YES,-43.5738301,172.6141197
95 MACKWORTH STREET,WOOLSTON,CHRISTCHURCH,8062,,3,1,,1,1,904,80,1940,485,4/08/2025,11,Metro Advances Limited,510000,505000,5000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Vacant Flat Land,nill,,,NO,-43.5390377,172.6730751
6/225 EDGEWARE ROAD,EDGEWARE,CHRISTCHURCH,8013,Unit,2,1,1,,1,,60,1970,489,18/08/2025,24,A1 Property Managers Ltd,360000,143000,217000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.5129064,172.648536
6/225 Edgeware Road,Edgeware,Christchurch City,8013,unit,2,1,,1,1,106,60,1970,489,18/08/2025,37,A1 Property Managers Ltd,360000,143000,217000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,,,,No,-43.5129064,172.648536
1/654 Gloucester Street,Linwood,Christchurch City,8062,Townhouse,2,1,,1,1,123,74,2024,489,5/09/2025,19,A1 Property Managers Ltd,580000,170000,410000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2020/2029-average,partial,dryer;washing machine,,No,-43.5236956,172.6727863
1/654 GLOUCESTER STREET,LINWOOD,CHRISTCHURCH,8062,Townhouse,2,2,1,,1,123,74,2024,489,6/09/2025,420,A1 Property Managers Ltd,580000,170000,410000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2020/2029-average,partial,dryer;washing machine,,YES,-43.5236956,172.6727863
2/93 SPRINGFIELD ROAD,ST ALBANS,CHRISTCHURCH,8014,Unit,2,1,2,,2,101,76,1970,489,3/09/2025,8,Wolfbrook Property Management,630000,260769.2308,369230.7692,1/08/2022,Single Unit excluding Bach,Residential Zone C,,Focal Point Of view - Other,Tile Profile,Fibre Cement,Residential-Dwelling-1970's-average,nill,,,YES,-43.5161773,172.6322086
31 AKAROA STREET,MAIREHAU,CHRISTCHURCH,8013,House,3,1,,1,1,627,100,1950,489,16/05/2025,1398,"Braziers Limited, (Licensed: Reaa 2008)",465000,265000,200000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1950's-average,nill,,Pets OK,NO,-43.4976974,172.652088
208/231 Madras Street,City Centre,Christchurch City,8011,apartment,1,1,,,,64,50,2019,490,27/08/2025,28,Christchurch Accommodation Ltd,440000,205000,235000,1/08/2022,Single Unit excluding Bach,Commercial Central City Business,Corner,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Apartment-2010/2019-average,Fully Furnished,,,No,-43.5340448,172.642505
2/158 Kilmore Street,City Centre,Christchurch City,8013,townhouse,1,1,,,,62,55,2019,490,12/09/2025,12,Inspire Property Management,425000,240000,185000,1/08/2022,Single Unit excluding Bach,Commercial Central City Mixed Use,Inside,No appreciable view,"Roughcast,etc","Roughcast,etc",Residential-OYO-2010/2019-average,Fully Furnished,,,No,-43.5267416,172.6400542
17/231 MARINE PARADE,NEW BRIGHTON,CHRISTCHURCH,8061,Townhouse,1,1,1,,1,60,58,2023,490,4/03/2025,18,Max Property Management Ltd,490000,220000,270000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,dryer;fridge;fridge/freezer;microwave;washer;washer/dryer,Pets OK,YES,-43.5076593,172.7310976
7/7 SPENCER STREET,ADDINGTON,CHRISTCHURCH,8024,Townhouse,1,1,,,,63,60,2022,490,3/04/2025,2,Iron Bridge Property Management - Christchurch,550000,180000,370000,1/08/2022,Single Unit excluding Bach,Commercial Local,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,Fully Furnished,,,NO,-43.5447762,172.6110015
11 Waimea Terrace,Beckenham,Christchurch City,8023,house,1,1,1,1,1,102,78.93975904,1965,490,5/09/2025,19,Central Property Management,540000,358917.7117,181082.2883,1/08/2022,Multi-unit,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Purpose built flat-1960's-average,,,Pets OK,Yes,-43.5607041,172.6377827
12/283 BROUGHAM STREET,SYDENHAM,CHRISTCHURCH,8023,Apartment,2,1,1,,1,114,46,2025,490,2/04/2025,57,Iron Bridge Chch 01,465000,124000,341000,1/08/2022,Single Unit excluding Bach,Commercial Local,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Apartment-2010/2019-average,nill,,,YES,-43.5471822,172.6375628
1/10 LINDSAY STREET,ST ALBANS,CHRISTCHURCH,8014,Townhouse,2,1,,1,2,,52,2016,490,30/04/2025,7,"Progressive First National - Progressive Realty Ltd Mreinz, (Licensed: Reaa 2008)",530000,160000,370000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2010/2019-average,,,,NO,-43.5130334,172.641376
2/34 EDWARD AVENUE,EDGEWARE,CHRISTCHURCH,8013,Unit,2,1,1,,1,,60,1970,490,28/01/2025,57,Harcourts Four Seasons Property Management Ltd,400000,170000,230000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.511312,172.645252
5/58 PAPANUI ROAD,MERIVALE,CHRISTCHURCH,8014,Unit,2,1,,1,1,,60,1960,490,12/05/2025,56,Propertyscouts North Christchurch,450000,335000,115000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Fibre Cement,Concrete,Residential-OYO-1960's-average,partial,dryer;fridge;fridge/freezer;microwave;washing machine,,NO,-43.5179945,172.6265076
1/35 NEILL STREET,HORNBY,CHRISTCHURCH,8042,Unit,2,1,,1,1,,60,1970,490,12/08/2025,29,Wolfbrook Property Management,360000,255000,105000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-1970's-average,nill,,,NO,-43.5453944,172.5341478
4/430 Barbadoes Street,St. Albans,Christchurch City,8013,apartment,2,1,1,1,1,117,61,2017,490,16/07/2025,70,"Cowdy, (Licensed: REAA 2008)",550000,265000,285000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-2010/2019-average,partial,dryer;washing machine,,Yes,-43.520194,172.6462738
4/430 BARBADOES STREET,EDGEWARE,CHRISTCHURCH,8013,Townhouse,2,1,,1,1,,61,2017,490,22/08/2025,57,"Cowdy, (Licensed: Reaa 2008)",550000,265000,285000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-2010/2019-average,partial,dryer;washing machine,,NO,-43.5202206,172.6464385
3/10 Courtenay,St. Albans,Christchurch City,,unit,2,1,1,1,1,140,63,,490,23/08/2025,32,,475000,240000,235000,1/08/2022,Multi-unit,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-1970's-average,Fully Furnished,,,Yes,-43.5085197,172.6338549
2/145B CLARENCE STREET,RICCARTON,CHRISTCHURCH,8011,Unit,2,1,,1,1,,64,1970,490,28/08/2025,13,Harcourts Asset Managers,425000,350000,170000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Tile Profile,Concrete,Residential-OYO-1980's-average,nill,,,NO,-43.5341269,172.6012104
3/20 RADNOR STREET,ST ALBANS,CHRISTCHURCH,8014,Unit,2,1,,1,1,,66,1975,490,17/03/2025,7,-,510000,255000,255000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5126478,172.633843
3/12 Field Terrace,Riccarton,Christchurch City,8041,unit,2,1,2,1,1,140,66,1960,490,10/09/2025,14,The Property Boss Limited,410000,210000,200000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-1960's-average,,,,Yes,-43.5328246,172.5816496
3/32 LYNDON STREET,RICCARTON,CHRISTCHURCH,8041,Unit,2,1,,1,1,,68,1970,490,14/02/2025,62,Myrent.Co.NZ Ltd,440000,325000,115000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5358307,172.6017187
3/104 RUSKIN STREET,ADDINGTON,CHRISTCHURCH,8024,Townhouse,2,2,1,,1,66,68,2023,490,1/07/2025,37,Rent Wise Property Management,650000,160000,490000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5466624,172.6284195
5/491 HEREFORD STREET,LINWOOD,CHRISTCHURCH,8011,Townhouse,2,2,1,,1,83,68,2022,490,3/07/2025,15,Xclusive Property Management,575000,190000,385000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5315828,172.6609032
6/491 Hereford St,Linwood,Christchurch City,8011,townhouse,2,1,,1,1,63,68,2022,490,19/09/2025,5,Xclusive Property Management,575000,180000,395000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,,,Pets OK,No,-43.5317666,172.6609249
11/95 OLLIVIERS ROAD,PHILLIPSTOWN,CHRISTCHURCH,8011,Townhouse,2,1,1,,1,66,69,2024,490,7/07/2025,2,Opes Property Management South Limited,540000,160000,380000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Weatherboard,Residential-OYO-2020/2029-average,partial,fridge;fridge/freezer,,YES,-43.5364439,172.6619904
7/94 MATHESONS ROAD,PHILLIPSTOWN,CHRISTCHURCH,8011,Townhouse,2,1,1,,1,65,69,2024,490,20/08/2025,21,Opes Property Management South Limited,545000,165000,380000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Weatherboard,Residential-OYO-2020/2029-average,nill,,,YES,-43.5363758,172.6617065
7/94 Mathesons Road,Phillipstown,Christchurch City,8011,townhouse,2,1,,1,1,65,69,2024,490,20/08/2025,35,Opes Property Management South Limited,545000,165000,380000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Weatherboard,Residential-OYO-2020/2029-average,partial,fridge;fridge/freezer,Pets OK,No,-43.5362287,172.6611512
94 Mathesons Road,Phillipstown,Christchurch City,8011,townhouse,2,1,,1,1,65,69,2024,490,8/09/2025,16,Opes Property Management South Limited,545000,165000,380000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Weatherboard,Residential-OYO-2020/2029-average,partial,fridge;fridge/freezer,Pets OK,No,-43.5362287,172.6611512
2/27 VOGEL STREET,RICHMOND,CHRISTCHURCH,8013,Townhouse,2,1,1,,1,116,70,2024,490,9/05/2025,7,Priority Property Management Ltd,600000,150000,450000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2020/2029-average,nill,,,YES,-43.5213943,172.6580885
5/623 CASHEL STREET,LINWOOD,CHRISTCHURCH,8011,Townhouse,2,2,1,,1,63,70,2025,490,9/05/2025,50,Holmwood Property Management,525000,175000,350000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,dryer;washer,,YES,-43.5327793,172.669755
284B ESTUARY ROAD,SOUTH NEW BRIGHTON,CHRISTCHURCH,8062,Unit,2,1,,1,1,,70,1970,490,11/05/2025,30,-,425000,225000,200000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,partial,fridge;washing machine,Pets OK,NO,-43.5322815,172.7363976
3/136 CLARENCE STREET,RICCARTON,CHRISTCHURCH,8011,Unit,2,1,,1,1,,70,1970,490,21/05/2025,44,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",405000,265000,140000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,No,NO,-43.5346542,172.603022
1/472 GREERS ROAD,BISHOPDALE,CHRISTCHURCH,8053,Unit,2,1,,1,1,,70,1960,490,12/06/2025,7,Slpm Ltd Auckland,520000,250000,270000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Brick,Residential-OYO-1960's-average,,,,NO,-43.4862958,172.5978305
4/25 AYR STREET,RICCARTON,CHRISTCHURCH,8011,Townhouse,2,1,,1,1,,70,2020,490,26/06/2025,28,Red Chili Property Management Ltd,670000,360000,310000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2010/2019-average,nill,,,NO,-43.528093,172.609149
7/7 LINDORES STREET,ADDINGTON,CHRISTCHURCH,8024,Townhouse,2,2,1,,1,75,70,2023,490,4/07/2025,2,Opes Property Management South Limited,610000,133000,477000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,washing machine,,YES,-43.5471668,172.6041235
1/54 DEVON STREET,SYDENHAM,CHRISTCHURCH,8023,Unit,2,1,,1,1,,71,1975,490,23/01/2025,8,"Glass Miles Ltd, (Licensed: Reaa 2008)",415000,235000,180000,1/08/2022,Multi-unit,Residential Zone D,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5538561,172.6361489
4/79 HARROW STREET,PHILLIPSTOWN,CHRISTCHURCH,8011,Townhouse,2,2,,,,87,71,2025,490,30/06/2025,3,-,480000,140000,340000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,NO,-43.537172,172.6686687
2/265 LYTTELTON STREET,SPREYDON,CHRISTCHURCH,8024,Townhouse,2,1,1,,1,88,71,2022,490,25/07/2025,18,A1 Property Managers Ltd,570000,190000,380000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5598358,172.6104506
2/31 EDMONDS STREET,WOOLSTON,CHRISTCHURCH,8062,Townhouse,2,2,1,,1,77,71,2023,490,1/08/2025,73,Opes Property Management South Limited,555000,190000,365000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5416429,172.6693967
2/145b Clarence Street,Riccarton,Christchurch City,8011,unit,2,1,1,1,1,140,71,1970,490,27/08/2025,28,Harcourts Asset Managers,460000,290000,170000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Tile Profile,Concrete,Residential-OYO-1980's-average,,,,Yes,-43.5341269,172.6012104
25/17 BUNYAN STREET,WALTHAM,CHRISTCHURCH,8023,Townhouse,2,2,1,,1,,72,2016,490,4/02/2025,20,Max Property Management Ltd,550000,133000,417000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2010/2019-average,partial,dryer;fridge;fridge/freezer;microwave;washing machine,No,YES,-43.550385,172.6485407
1/60 GRAFTON STREET,WALTHAM,CHRISTCHURCH,8011,Townhouse,2,2,1,,1,114,72,2025,490,17/03/2025,33,Care Property Rentals,550000,155000,395000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5431431,172.6585141
56/10 BUFFON STREET,WALTHAM,CHRISTCHURCH,8023,Townhouse,2,2,1,,1,,72,2016,490,14/05/2025,2,Max Property Management Ltd,480000,122000,358000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2010/2019-average,nill,,,YES,-43.5498198,172.6477611
6/498 Manchester Street,St. Albans,Christchurch City,8014,Apartment,2,1,,1,1,80,72,2024,490,29/08/2025,26,,640000,240000,400000,1/08/2022,Single Unit excluding Bach,,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,unfurnished,,No,-43.5143464,172.6398416
6/498 MANCHESTER STREET,ST ALBANS,CHRISTCHURCH,8014,Townhouse,2,2,1,,1,80,72,2024,490,31/08/2025,10,-,640000,240000,400000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,unfurnished,,YES,-43.5143436,172.6400471
2/87  Barbour Street,Waltham,Christchurch City,8011,Townhouse,2,1,,1,1,135,72,2022,490,10/09/2025,14,A1 Property Managers Ltd,540000,150000,390000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,,,,No,-43.5416202,172.6573695
4/167 Peterborough Street,City Centre,Christchurch City,8013,apartment,2,1,,1,2,76,72.5,2025,490,12/09/2025,12,,582500,293827.4336,288672.5664,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Purpose built flat-2010/2019-average,partial,dryer;fridge;washing machine,,No,-43.5253647,172.6400638
2/17 FREDERICK STREET,WALTHAM,CHRISTCHURCH,8011,Townhouse,2,2,1,,1,125,73,2023,490,16/01/2025,43,Grenadier Rent Shop Ltd,575000,185000,390000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5428085,172.6629663
